"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.043","1.043","1.043","1.043","1.043","1.043","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.042","1.041","1.041","1.042","1.042","1.043","1.043","1.043","1.043","1.044","1.044","1.044","1.044","1.044","1.044","1.044","1.044","1.044","1.044","1.043","1.043","1.043","1.043","1.043","1.043","1.043","1.042","1.042","1.043","1.043","1.043","1.043","1.043","1.044","1.044","1.044","1.044","1.043","1.044","1.043","1.043","1.043","1.043","","",
"Africa Eastern and Southern","AFE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.03365441921502","1.03375069401144","1.03372742166645","1.03377672099324","1.03382472902642","1.03385111135546","1.03384721638295","1.03373597964964","1.03362308152836","1.03363063568461","1.03367764437051","1.03369726682184","1.0337355299897","1.03383478468852","1.03372633561297","1.03375961798784","1.03395115220074","1.03393324848836","1.03378955052265","1.03381580851087","1.03358705132507","1.03348647830275","1.03377346137279","1.03382407157677","1.03385221128612","1.03406541286973","1.0341572782877","1.03444626731927","1.03424144340102","1.03409592901368","1.03399802656237","1.03412172674567","1.03420344627539","1.03413194904948","1.03401444475824","1.03366583766287","1.03357314499687","1.03346467793941","1.03309577645652","1.03281866995982","1.0322679235141","1.03156924719539","1.03129334104351","1.0310677334413","1.03111217954478","1.0315605313566","1.03131027695877","1.0312366139813","1.03127975413014","1.03126990253888","1.03139194071768","1.03140024860854","1.03134536364297","1.03145437531012","1.03150723330897","1.03153663239133","1.0317433301248","1.03174733886296","1.03219360538022","1.03231242384852","1.03241392908219","1.03239633091582","1.03254243767689","1.03258079565692","","",
"Afghanistan","AFG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.049","1.049","1.049","1.049","1.049","1.049","1.049","1.049","1.049","1.049","1.049","1.049","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.051","1.051","1.051","1.052","1.053","1.053","1.054","1.054","1.055","1.056","1.056","1.056","1.057","1.058","1.06","1.062","1.064","1.065","1.065","1.065","1.065","1.065","1.064","1.063","1.063","1.063","1.063","1.062","1.061","1.059","1.058","1.057","1.056","1.056","1.055","1.054","1.053","1.053","1.052","1.052","1.052","1.051","","",
"Africa Western and Central","AFW","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.03755627550669","1.03751764318424","1.03802981818182","1.0380738656557","1.03815537653149","1.03862494465513","1.03909734148162","1.03961244548187","1.04010978920841","1.04052383847965","1.04112019836659","1.04111170028582","1.04167174133817","1.04164838480266","1.04163956395438","1.04122780229621","1.0408595089782","1.04054314986376","1.04063065285352","1.04076463245124","1.04080908359996","1.04121506415598","1.04104299767075","1.04136951689444","1.04174971788075","1.0416012576529","1.04203262454283","1.04244669962513","1.04293246737751","1.04358122682044","1.04361197564744","1.04334080827377","1.04339771672738","1.04396686328771","1.04398308530974","1.04329557623293","1.04285599024444","1.04233216265035","1.04244985873704","1.0420569545908","1.04221181483819","1.04228605273766","1.04141965900358","1.04127295872531","1.04065183245807","1.04058322649565","1.03994539182085","1.03885564381547","1.03881050730357","1.03878328931776","1.03783744764462","1.0374193036979","1.03689436988365","1.03624870749549","1.03656760393611","1.03694145431098","1.03738683996117","1.0374219088748","1.03723828645914","1.03676071059168","1.03678899844621","1.03673483817941","1.03671371647393","1.03676503603199","","",
"Angola","AGO","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.028","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.029","1.03","1.03","1.03","1.03","1.03","1.03","1.031","1.031","1.031","1.031","1.031","1.031","1.03","1.03","1.03","1.029","1.029","1.029","1.029","1.029","1.029","1.028","1.027","1.027","1.026","1.025","1.024","1.024","1.024","1.024","1.024","1.025","1.025","1.026","1.026","1.027","1.027","1.027","1.027","","",
"Albania","ALB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.059","1.059","1.059","1.059","1.059","1.06","1.06","1.06","1.06","1.06","1.06","1.062","1.061","1.062","1.065","1.065","1.065","1.069","1.071","1.078","1.086","1.088","1.086","1.087","1.08","1.078","1.08","1.08","1.078","1.077","1.08","1.084","1.079","1.077","1.076","1.078","1.083","1.089","1.095","1.099","1.103","1.111","1.12","1.125","1.128","1.129","1.129","1.126","1.121","1.118","1.112","1.104","1.099","1.096","1.094","1.091","1.088","1.087","1.084","1.081","1.078","1.075","1.072","1.07","","",
"Andorra","AND","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.062","1.063","1.063","1.063","1.063","1.063","1.063","1.063","1.063","1.063","1.063","1.062","1.062","1.062","1.062","1.062","1.062","1.063","1.063","1.063","1.064","1.064","1.064","1.064","1.063","1.063","1.063","1.063","1.062","1.062","1.062","1.062","1.061","1.061","1.06","1.06","1.06","1.06","1.06","1.06","1.061","1.061","1.062","1.063","1.063","1.063","1.063","1.062","1.062","","",
"Arab World","ARB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.05190957406098","1.052278231447","1.05240745766831","1.05263642816039","1.05261296276232","1.05264749267669","1.05306832797853","1.05302504949015","1.05369097682932","1.05402876908811","1.05404959916044","1.05439461998229","1.05452504283593","1.05460856816989","1.05452621508858","1.05460468650373","1.05447338353431","1.05448696499769","1.05365039052186","1.05318171161966","1.05300430542147","1.05238400731736","1.05226292245101","1.0518655937147","1.05172378327662","1.05003514777184","1.0497294161775","1.05008375464016","1.05153921010477","1.05220564769024","1.05308533529978","1.05412354125296","1.05453982595741","1.0548601240947","1.05419663114613","1.0541715148453","1.05352581954224","1.0532112070055","1.05299596986479","1.05304667384618","1.05313499533684","1.05233315304835","1.05120031138523","1.04967247801942","1.04952720792382","1.05014233514069","1.05070056497562","1.0510709834002","1.05141380125332","1.05176376854775","1.05134038473521","1.05101814930754","1.05012117295595","1.04983086452332","1.04988698194277","1.04967167250007","1.04932173018004","1.0494868411293","1.04968763035839","1.05006316637832","1.05010256920777","1.05020003884691","1.05019605701936","1.05041765771543","","",
"United Arab Emirates","ARE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.043","1.043","1.043","1.042","1.042","1.042","1.042","1.041","1.041","1.041","1.04","1.04","1.039","1.039","1.038","1.037","1.036","1.035","1.033","1.032","1.03","1.024","1.031","1.035","1.037","1.04","1.041","1.042","1.043","1.044","1.045","1.047","1.048","1.046","1.046","1.045","1.045","1.045","1.045","1.046","1.047","1.044","1.042","1.042","1.042","1.043","1.043","1.043","1.043","1.043","1.042","1.041","1.042","1.046","1.049","1.053","1.054","1.051","1.048","1.047","1.047","1.046","1.046","1.046","","",
"Argentina","ARG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","1.043","1.043","1.043","1.042","1.042","1.042","1.041","1.04","1.038","1.036","1.037","1.04","1.042","1.045","1.047","1.049","1.051","1.053","1.055","1.051","1.048","1.046","1.044","1.047","1.049","1.051","1.053","1.053","1.054","1.054","1.054","1.054","1.054","1.054","1.055","1.055","1.054","1.054","1.055","1.055","1.055","1.054","1.054","1.055","1.056","1.059","1.062","1.063","1.062","1.061","1.061","1.062","1.062","1.06","1.059","1.057","1.056","1.053","1.053","1.052","1.052","1.052","1.051","1.051","","",
