Country Name,Country Code,year,sex_ratio,sex_ratio_per_100_female,deviation_from_105,fertility_rate,china_policy_phase
Albania,ALB,1960,1.059,105.89999999999999,0.8999999999999915,6.383,not_applicable
Albania,ALB,1961,1.059,105.89999999999999,0.8999999999999915,6.273,not_applicable
Albania,ALB,1962,1.059,105.89999999999999,0.8999999999999915,6.106,not_applicable
Albania,ALB,1963,1.059,105.89999999999999,0.8999999999999915,5.927,not_applicable
Albania,ALB,1964,1.059,105.89999999999999,0.8999999999999915,5.714,not_applicable
Albania,ALB,1965,1.06,106.0,1.0,5.474,not_applicable
Albania,ALB,1966,1.06,106.0,1.0,5.325,not_applicable
Albania,ALB,1967,1.06,106.0,1.0,5.31,not_applicable
Albania,ALB,1968,1.06,106.0,1.0,5.317,not_applicable
Albania,ALB,1969,1.06,106.0,1.0,5.287,not_applicable
Albania,ALB,1970,1.06,106.0,1.0,5.158,not_applicable
Albania,ALB,1971,1.062,106.2,1.2000000000000028,5.083,not_applicable
Albania,ALB,1972,1.061,106.1,1.0999999999999943,4.979,not_applicable
Albania,ALB,1973,1.062,106.2,1.2000000000000028,4.829,not_applicable
Albania,ALB,1974,1.065,106.5,1.5,4.7,not_applicable
Albania,ALB,1975,1.065,106.5,1.5,4.566,not_applicable
Albania,ALB,1976,1.065,106.5,1.5,4.374,not_applicable
Albania,ALB,1977,1.069,106.89999999999999,1.8999999999999915,4.204,not_applicable
Albania,ALB,1978,1.071,107.1,2.0999999999999943,3.996,not_applicable
Albania,ALB,1979,1.078,107.80000000000001,2.8000000000000114,3.782,not_applicable
Albania,ALB,1980,1.086,108.60000000000001,3.6000000000000085,3.59,not_applicable
Albania,ALB,1981,1.088,108.80000000000001,3.8000000000000114,3.468,not_applicable
Albania,ALB,1982,1.086,108.60000000000001,3.6000000000000085,3.416,not_applicable
Albania,ALB,1983,1.087,108.7,3.700000000000003,3.319,not_applicable
Albania,ALB,1984,1.08,108.0,3.0,3.282,not_applicable
Albania,ALB,1985,1.078,107.80000000000001,2.8000000000000114,3.214,not_applicable
Albania,ALB,1986,1.08,108.0,3.0,3.141,not_applicable
Albania,ALB,1987,1.08,108.0,3.0,3.106,not_applicable
Albania,ALB,1988,1.078,107.80000000000001,2.8000000000000114,3.069,not_applicable
Albania,ALB,1989,1.077,107.69999999999999,2.6999999999999886,3.03,not_applicable
Albania,ALB,1990,1.08,108.0,3.0,3.014,not_applicable
Albania,ALB,1991,1.084,108.4,3.4000000000000057,2.956,not_applicable
Albania,ALB,1992,1.079,107.89999999999999,2.8999999999999915,2.885,not_applicable
Albania,ALB,1993,1.077,107.69999999999999,2.6999999999999886,2.811,not_applicable
Albania,ALB,1994,1.076,107.60000000000001,2.6000000000000085,2.798,not_applicable
Albania,ALB,1995,1.078,107.80000000000001,2.8000000000000114,2.762,not_applicable
Albania,ALB,1996,1.083,108.3,3.299999999999997,2.666,not_applicable
Albania,ALB,1997,1.089,108.89999999999999,3.8999999999999915,2.535,not_applicable
Albania,ALB,1998,1.095,109.5,4.5,2.425,not_applicable
Albania,ALB,1999,1.099,109.89999999999999,4.8999999999999915,2.313,not_applicable
Albania,ALB,2000,1.103,110.3,5.299999999999997,2.217,not_applicable
Albania,ALB,2001,1.111,111.1,6.099999999999994,2.141,not_applicable
Albania,ALB,2002,1.12,112.00000000000001,7.000000000000014,2.002,not_applicable
Albania,ALB,2003,1.125,112.5,7.5,2.006,not_applicable
Albania,ALB,2004,1.128,112.79999999999998,7.799999999999983,1.889,not_applicable
Albania,ALB,2005,1.129,112.9,7.900000000000006,1.787,not_applicable
Albania,ALB,2006,1.129,112.9,7.900000000000006,1.686,not_applicable
Albania,ALB,2007,1.126,112.6,7.599999999999994,1.633,not_applicable
Albania,ALB,2008,1.121,112.1,7.099999999999994,1.616,not_applicable
Albania,ALB,2009,1.118,111.80000000000001,6.800000000000011,1.638,not_applicable
Albania,ALB,2010,1.112,111.20000000000002,6.200000000000017,1.653,not_applicable
Albania,ALB,2011,1.104,110.4,5.400000000000006,1.677,not_applicable
Albania,ALB,2012,1.099,109.89999999999999,4.8999999999999915,1.719,not_applicable
Albania,ALB,2013,1.096,109.60000000000001,4.6000000000000085,1.741,not_applicable
Albania,ALB,2014,1.094,109.4,4.400000000000006,1.721,not_applicable
Albania,ALB,2015,1.091,109.1,4.099999999999994,1.631,not_applicable
Albania,ALB,2016,1.088,108.80000000000001,3.8000000000000114,1.555,not_applicable
Albania,ALB,2017,1.087,108.7,3.700000000000003,1.486,not_applicable
Albania,ALB,2018,1.084,108.4,3.4000000000000057,1.415,not_applicable
Albania,ALB,2019,1.081,108.1,3.0999999999999943,1.395,not_applicable
Albania,ALB,2020,1.078,107.80000000000001,2.8000000000000114,1.371,not_applicable
Albania,ALB,2021,1.075,107.5,2.5,1.365,not_applicable
Albania,ALB,2022,1.072,107.2,2.200000000000003,1.355,not_applicable
Albania,ALB,2023,1.07,107.0,2.0,1.348,not_applicable
Argentina,ARG,1960,1.043,104.3,-0.7000000000000028,3.136,not_applicable
Argentina,ARG,1961,1.043,104.3,-0.7000000000000028,3.12,not_applicable
Argentina,ARG,1962,1.043,104.3,-0.7000000000000028,3.126,not_applicable
Argentina,ARG,1963,1.042,104.2,-0.7999999999999972,3.109,not_applicable
Argentina,ARG,1964,1.042,104.2,-0.7999999999999972,3.075,not_applicable
Argentina,ARG,1965,1.042,104.2,-0.7999999999999972,3.005,not_applicable
Argentina,ARG,1966,1.041,104.1,-0.9000000000000057,2.966,not_applicable
Argentina,ARG,1967,1.04,104.0,-1.0,2.982,not_applicable
Argentina,ARG,1968,1.038,103.8,-1.2000000000000028,3.011,not_applicable
Argentina,ARG,1969,1.036,103.60000000000001,-1.3999999999999915,3.049,not_applicable
Argentina,ARG,1970,1.037,103.69999999999999,-1.3000000000000114,3.085,not_applicable
Argentina,ARG,1971,1.04,104.0,-1.0,3.108,not_applicable
Argentina,ARG,1972,1.042,104.2,-0.7999999999999972,3.135,not_applicable
Argentina,ARG,1973,1.045,104.5,-0.5,3.17,not_applicable
Argentina,ARG,1974,1.047,104.69999999999999,-0.30000000000001137,3.216,not_applicable
Argentina,ARG,1975,1.049,104.89999999999999,-0.10000000000000853,3.271,not_applicable
Argentina,ARG,1976,1.051,105.1,0.09999999999999432,3.317,not_applicable
Argentina,ARG,1977,1.053,105.3,0.29999999999999716,3.359,not_applicable
Argentina,ARG,1978,1.055,105.5,0.5,3.359,not_applicable
Argentina,ARG,1979,1.051,105.1,0.09999999999999432,3.339,not_applicable
Argentina,ARG,1980,1.048,104.80000000000001,-0.19999999999998863,3.301,not_applicable
Argentina,ARG,1981,1.046,104.60000000000001,-0.3999999999999915,3.253,not_applicable
Argentina,ARG,1982,1.044,104.4,-0.5999999999999943,3.204,not_applicable
Argentina,ARG,1983,1.047,104.69999999999999,-0.30000000000001137,3.148,not_applicable
Argentina,ARG,1984,1.049,104.89999999999999,-0.10000000000000853,3.116,not_applicable
Argentina,ARG,1985,1.051,105.1,0.09999999999999432,3.066,not_applicable
Argentina,ARG,1986,1.053,105.3,0.29999999999999716,3.054,not_applicable
Argentina,ARG,1987,1.053,105.3,0.29999999999999716,3.037,not_applicable
Argentina,ARG,1988,1.054,105.4,0.4000000000000057,3.046,not_applicable
Argentina,ARG,1989,1.054,105.4,0.4000000000000057,3.022,not_applicable
Argentina,ARG,1990,1.054,105.4,0.4000000000000057,3.034,not_applicable
Argentina,ARG,1991,1.054,105.4,0.4000000000000057,3.012,not_applicable
Argentina,ARG,1992,1.054,105.4,0.4000000000000057,2.987,not_applicable
Argentina,ARG,1993,1.054,105.4,0.4000000000000057,2.966,not_applicable
Argentina,ARG,1994,1.055,105.5,0.5,2.935,not_applicable
Argentina,ARG,1995,1.055,105.5,0.5,2.864,not_applicable
Argentina,ARG,1996,1.054,105.4,0.4000000000000057,2.781,not_applicable
Argentina,ARG,1997,1.054,105.4,0.4000000000000057,2.706,not_applicable
Argentina,ARG,1998,1.055,105.5,0.5,2.662,not_applicable
Argentina,ARG,1999,1.055,105.5,0.5,2.643,not_applicable
Argentina,ARG,2000,1.055,105.5,0.5,2.591,not_applicable
Argentina,ARG,2001,1.054,105.4,0.4000000000000057,2.531,not_applicable
Argentina,ARG,2002,1.054,105.4,0.4000000000000057,2.493,not_applicable
Argentina,ARG,2003,1.055,105.5,0.5,2.451,not_applicable
Argentina,ARG,2004,1.056,105.60000000000001,0.6000000000000085,2.43,not_applicable
Argentina,ARG,2005,1.059,105.89999999999999,0.8999999999999915,2.426,not_applicable
Argentina,ARG,2006,1.062,106.2,1.2000000000000028,2.4,not_applicable
Argentina,ARG,2007,1.063,106.3,1.2999999999999972,2.37,not_applicable
Argentina,ARG,2008,1.062,106.2,1.2000000000000028,2.432,not_applicable
Argentina,ARG,2009,1.061,106.1,1.0999999999999943,2.4,not_applicable
Argentina,ARG,2010,1.061,106.1,1.0999999999999943,2.411,not_applicable
Argentina,ARG,2011,1.062,106.2,1.2000000000000028,2.393,not_applicable
Argentina,ARG,2012,1.062,106.2,1.2000000000000028,2.304,not_applicable
Argentina,ARG,2013,1.06,106.0,1.0,2.335,not_applicable
Argentina,ARG,2014,1.059,105.89999999999999,0.8999999999999915,2.386,not_applicable
Argentina,ARG,2015,1.057,105.69999999999999,0.6999999999999886,2.35,not_applicable
Argentina,ARG,2016,1.056,105.60000000000001,0.6000000000000085,2.241,not_applicable
Argentina,ARG,2017,1.053,105.3,0.29999999999999716,2.168,not_applicable
Argentina,ARG,2018,1.053,105.3,0.29999999999999716,2.067,not_applicable
Argentina,ARG,2019,1.052,105.2,0.20000000000000284,1.882,not_applicable
Argentina,ARG,2020,1.052,105.2,0.20000000000000284,1.601,not_applicable
Argentina,ARG,2021,1.052,105.2,0.20000000000000284,1.585,not_applicable
Argentina,ARG,2022,1.051,105.1,0.09999999999999432,1.482,not_applicable
Argentina,ARG,2023,1.051,105.1,0.09999999999999432,1.5,not_applicable
Armenia,ARM,1960,1.064,106.4,1.4000000000000057,4.786,not_applicable
Armenia,ARM,1961,1.064,106.4,1.4000000000000057,4.67,not_applicable
Armenia,ARM,1962,1.064,106.4,1.4000000000000057,4.521,not_applicable
Armenia,ARM,1963,1.064,106.4,1.4000000000000057,4.345,not_applicable
Armenia,ARM,1964,1.064,106.4,1.4000000000000057,4.15,not_applicable
Armenia,ARM,1965,1.064,106.4,1.4000000000000057,3.988,not_applicable
Armenia,ARM,1966,1.064,106.4,1.4000000000000057,3.829,not_applicable
Armenia,ARM,1967,1.064,106.4,1.4000000000000057,3.731,not_applicable
Armenia,ARM,1968,1.064,106.4,1.4000000000000057,3.622,not_applicable
Armenia,ARM,1969,1.064,106.4,1.4000000000000057,3.488,not_applicable
Armenia,ARM,1970,1.064,106.4,1.4000000000000057,3.328,not_applicable
Armenia,ARM,1971,1.064,106.4,1.4000000000000057,3.286,not_applicable
Armenia,ARM,1972,1.064,106.4,1.4000000000000057,3.198,not_applicable
Armenia,ARM,1973,1.064,106.4,1.4000000000000057,3.081,not_applicable
Armenia,ARM,1974,1.064,106.4,1.4000000000000057,2.984,not_applicable
Armenia,ARM,1975,1.064,106.4,1.4000000000000057,2.921,not_applicable
Armenia,ARM,1976,1.064,106.4,1.4000000000000057,2.844,not_applicable
Armenia,ARM,1977,1.064,106.4,1.4000000000000057,2.739,not_applicable
Armenia,ARM,1978,1.064,106.4,1.4000000000000057,2.617,not_applicable
Armenia,ARM,1979,1.064,106.4,1.4000000000000057,2.53,not_applicable
Armenia,ARM,1980,1.064,106.4,1.4000000000000057,2.48,not_applicable
Armenia,ARM,1981,1.064,106.4,1.4000000000000057,2.48,not_applicable
Armenia,ARM,1982,1.064,106.4,1.4000000000000057,2.503,not_applicable
Armenia,ARM,1983,1.064,106.4,1.4000000000000057,2.558,not_applicable
Armenia,ARM,1984,1.064,106.4,1.4000000000000057,2.603,not_applicable
Armenia,ARM,1985,1.064,106.4,1.4000000000000057,2.644,not_applicable
Armenia,ARM,1986,1.064,106.4,1.4000000000000057,2.662,not_applicable
Armenia,ARM,1987,1.065,106.5,1.5,2.664,not_applicable
Armenia,ARM,1988,1.063,106.3,1.2999999999999972,2.675,not_applicable
Armenia,ARM,1989,1.062,106.2,1.2000000000000028,2.705,not_applicable
Armenia,ARM,1990,1.059,105.89999999999999,0.8999999999999915,2.708,not_applicable
Armenia,ARM,1991,1.059,105.89999999999999,0.8999999999999915,2.643,not_applicable
Armenia,ARM,1992,1.066,106.60000000000001,1.6000000000000085,2.499,not_applicable
Armenia,ARM,1993,1.08,108.0,3.0,2.286,not_applicable
Armenia,ARM,1994,1.098,109.80000000000001,4.800000000000011,2.084,not_applicable
Armenia,ARM,1995,1.113,111.3,6.299999999999997,2.067,not_applicable
Armenia,ARM,1996,1.129,112.9,7.900000000000006,2.06,not_applicable
Armenia,ARM,1997,1.145,114.5,9.5,1.9,not_applicable
Armenia,ARM,1998,1.161,116.10000000000001,11.100000000000009,1.81,not_applicable
Armenia,ARM,1999,1.17,117.0,12.0,1.534,not_applicable
Armenia,ARM,2000,1.173,117.30000000000001,12.300000000000011,1.3,not_applicable
